Time,Type,Instrument,Product,Qty.,Avg. price,Status
18/12/21 10:23,SELL,SBI,CNC,1000/1000,525.25,COMPLETE
16/12/21 15:08,BUY,ASHOKLEY,MIS,1000/1000,125.7,COMPLETE
16/12/21 15:08,BUY,SBI,CNC,1000/1000,520.8,COMPLETE
16/12/21 14:13,BUY,TATAMOTORS,MIS,250/250,490.55,COMPLETE
16/12/21 13:54,BUY,ASHOKLEY,MIS,0/1000,127.1,CANCELLED
16/12/21 13:21,SELL,TATAMOTORS,MIS,250/250,492.1,COMPLETE
16/12/21 12:51,BUY,TATAMOTORS,MIS,0/250,490.8,CANCELLED
16/12/21 12:39,SELL,ASHOKLEY,MIS,1000/1000,125.96,COMPLETE
16/12/21 12:29,BUY,ASHOKLEY,MIS,2000/2000,125.7,COMPLETE
16/12/21 11:22,SELL,ASHOKLEY,MIS,2000/2000,125.95,COMPLETE
16/12/21 10:47,SELL,ASHOKLEY,MIS,0/2000,124.45,CANCELLED
16/12/21 10:46,SELL,ASHOKLEY,MIS,2000/2000,125.95,COMPLETE
16/12/21 10:24,BUY,ASHOKLEY,MIS,1000/1000,125.6,COMPLETE
16/12/21 10:23,BUY,ASHOKLEY,MIS,1000/1000,125.65,COMPLETE